Bin	Range	Range Start	Range End	Bin Name	EDPL
0	"[0, 0.05)"	0	0.05	>= 0	1
1	"[0.05, 0.1)"	0.05	0.1	>= 0.05	0
2	"[0.1, 0.15)"	0.1	0.15	>= 0.1	0
3	"[0.15, 0.2)"	0.15	0.2	>= 0.15	0
4	"[0.2, 0.25)"	0.2	0.25	>= 0.2	0
5	"[0.25, 0.3)"	0.25	0.3	>= 0.25	0
6	"[0.3, 0.35)"	0.3	0.35	>= 0.3	0
7	"[0.35, 0.4)"	0.35	0.4	>= 0.35	0
8	"[0.4, 0.45)"	0.4	0.45	>= 0.4	1
9	"[0.45, 0.5)"	0.45	0.5	>= 0.45	0
10	"[0.5, 0.55)"	0.5	0.55	>= 0.5	4
11	"[0.55, 0.6)"	0.55	0.6	>= 0.55	2
12	"[0.6, 0.65)"	0.6	0.65	>= 0.6	1
13	"[0.65, 0.7)"	0.65	0.7	>= 0.65	11
14	"[0.7, 0.75)"	0.7	0.75	>= 0.7	5
15	"[0.75, 0.8)"	0.75	0.8	>= 0.75	3
16	"[0.8, 0.85)"	0.8	0.85	>= 0.8	2
17	"[0.85, 0.9)"	0.85	0.9	>= 0.85	0
18	"[0.9, 0.95)"	0.9	0.95	>= 0.9	0
19	"[0.95, 1)"	0.95	1	>= 0.95	0
